total extension (nm),DNA extension (nm),average force (pN),sd force (pN),average bp unzipped,sd bp unzipped
1,-5.88292,0.509749,0.0155758,127.837,4.60859
2,-4.89182,0.510408,0.0156372,127.819,4.61678
3,-3.90071,0.511067,0.0156992,127.8,4.62513
4,-2.9096,0.511725,0.015762,127.781,4.63366
5,-1.91848,0.512382,0.0158255,127.763,4.64237
6,-0.927346,0.513039,0.0158899,127.744,4.65126
7,0.0637904,0.513696,0.0159551,127.725,4.66035
8,1.05493,0.514352,0.0160212,127.706,4.66965
9,2.04609,0.515007,0.0160883,127.686,4.67916
10,3.03724,0.515662,0.0161563,127.667,4.68891
11,4.02841,0.516316,0.0162255,127.648,4.69889
12,5.01959,0.516969,0.0162957,127.628,4.70914
13,6.01077,0.517623,0.0163672,127.609,4.71967
14,7.00196,0.518275,0.01644,127.589,4.73049
15,7.99316,0.518927,0.0165142,127.569,4.74163
16,8.98437,0.519578,0.0165899,127.549,4.7531
17,9.97558,0.520228,0.0166672,127.529,4.76493
18,10.9668,0.520878,0.0167462,127.509,4.77716
19,11.958,0.521527,0.0168271,127.489,4.7898
20,12.9493,0.522176,0.01691,127.468,4.80289
21,13.9405,0.522823,0.016995,127.448,4.81646
22,14.9318,0.52347,0.0170824,127.427,4.83056
23,15.9231,0.524117,0.0171723,127.406,4.84523
24,16.9144,0.524762,0.0172649,127.385,4.8605
25,17.9057,0.525407,0.0173605,127.364,4.87644
26,18.897,0.52605,0.0174593,127.343,4.8931
27,19.8883,0.526693,0.0175616,127.321,4.91054
28,20.8796,0.527335,0.0176677,127.299,4.92882
29,21.871,0.527976,0.0177779,127.278,4.94801
30,22.8623,0.528616,0.0178925,127.255,4.96821
31,23.8537,0.529255,0.0180119,127.233,4.98948
32,24.8451,0.529892,0.0181366,127.211,5.01192
33,25.8365,0.530529,0.018267,127.188,5.03564
34,26.8279,0.531164,0.0184036,127.165,5.06075
35,27.8194,0.531798,0.0185469,127.141,5.08736
36,28.8108,0.532431,0.0186975,127.118,5.11561
37,29.8023,0.533062,0.018856,127.094,5.14563
38,30.7938,0.533692,0.0190231,127.07,5.17758
39,31.7853,0.53432,0.0191996,127.045,5.21163
40,32.7769,0.534946,0.0193862,127.02,5.24795
41,33.7684,0.535571,0.0195838,126.995,5.28674
42,34.76,0.536193,0.0197932,126.969,5.32821
43,35.7516,0.536814,0.0200156,126.943,5.37257
44,36.7433,0.537432,0.0202518,126.916,5.42008
45,37.735,0.538047,0.0205032,126.889,5.47098
46,38.7267,0.53866,0.0207708,126.861,5.52557
47,39.7185,0.539271,0.021056,126.832,5.58413
48,40.7103,0.539878,0.0213602,126.803,5.64698
49,41.7021,0.540481,0.0216847,126.773,5.71446
50,42.694,0.541082,0.0220313,126.743,5.78693
51,43.686,0.541678,0.0224015,126.711,5.86477
52,44.678,0.54227,0.022797,126.678,5.94838
53,45.67,0.542857,0.0232197,126.645,6.0382
54,46.6622,0.54344,0.0236716,126.61,6.13466
55,47.6544,0.544017,0.0241546,126.574,6.23824
56,48.6467,0.544588,0.024671,126.537,6.34944
