extension (nm),average force (pN),sd force (pN),average bp unzipped,sd bp unzipped
-0.26806,0.0198526,0.000459123,0.0207794,0.145593
0.73056,0.0199548,0.000459665,0.0207766,0.145582
1.72918,0.020057,0.000460207,0.0207738,0.145572
2.7278,0.0201592,0.000460748,0.020771,0.145562
3.72642,0.0202614,0.00046129,0.0207682,0.145552
4.72504,0.0203635,0.000461831,0.0207654,0.145542
5.72366,0.0204657,0.000462373,0.0207626,0.145532
6.72228,0.0205679,0.000462914,0.0207598,0.145522
7.7209,0.0206701,0.000463455,0.020757,0.145512
8.71952,0.0207723,0.000463996,0.0207542,0.145502
9.71814,0.0208745,0.000464537,0.0207514,0.145492
10.7168,0.0209767,0.000465078,0.0207487,0.145482
11.7154,0.0210789,0.000465619,0.0207459,0.145472
12.714,0.0211811,0.00046616,0.0207431,0.145462
13.7126,0.0212833,0.000466701,0.0207403,0.145452
14.7112,0.0213855,0.000467241,0.0207375,0.145442
15.7099,0.0214877,0.000467782,0.0207347,0.145432
16.7085,0.0215899,0.000468322,0.0207319,0.145422
17.7071,0.0216921,0.000468863,0.0207291,0.145412
18.7057,0.0217943,0.000469403,0.0207263,0.145402
19.7043,0.0218965,0.000469943,0.0207236,0.145392
20.703,0.0219987,0.000470484,0.0207208,0.145381
21.7016,0.0221009,0.000471024,0.020718,0.145371
22.7002,0.0222031,0.000471564,0.0207152,0.145361
23.6988,0.0223053,0.000472104,0.0207124,0.145351
24.6974,0.0224075,0.000472644,0.0207096,0.145341
25.6961,0.0225097,0.000473183,0.0207068,0.145331
26.6947,0.0226119,0.000473723,0.0207041,0.145321
27.6933,0.0227141,0.000474263,0.0207013,0.145311
28.6919,0.0228163,0.000474802,0.0206985,0.145301
29.6905,0.0229185,0.000475342,0.0206957,0.145291
30.6892,0.0230207,0.000475881,0.0206929,0.145281
31.6878,0.0231229,0.000476421,0.0206901,0.145271
32.6864,0.0232251,0.00047696,0.0206874,0.145261
33.685,0.0233273,0.000477499,0.0206846,0.145251
34.6836,0.0234295,0.000478038,0.0206818,0.145241
35.6823,0.0235317,0.000478577,0.020679,0.145231
36.6809,0.0236339,0.000479116,0.0206762,0.145221
37.6795,0.0237361,0.000479655,0.0206735,0.145211
38.6781,0.0238383,0.000480194,0.0206707,0.145201
39.6767,0.0239405,0.000480733,0.0206679,0.145191
40.6754,0.0240427,0.000481271,0.0206651,0.145181
41.674,0.0241449,0.00048181,0.0206623,0.145171
42.6726,0.0242471,0.000482349,0.0206596,0.145161
43.6712,0.0243493,0.000482887,0.0206568,0.145151
44.6698,0.0244515,0.000483425,0.020654,0.145141
45.6685,0.0245537,0.000483964,0.0206512,0.145131
46.6671,0.0246559,0.000484502,0.0206485,0.145121
47.6657,0.0247581,0.00048504,0.0206457,0.145111
48.6643,0.0248603,0.000485578,0.0206429,0.145101
49.6629,0.0249624,0.000486116,0.0206401,0.145091
50.6616,0.0250646,0.000486654,0.0206374,0.145081
51.6602,0.0251668,0.000487192,0.0206346,0.145071
52.6588,0.025269,0.000487729,0.0206318,0.145061
53.6574,0.0253712,0.000488267,0.020629,0.145051
54.656,0.0254734,0.000488805,0.0206263,0.14504
55.6547,0.0255756,0.000489342,0.0206235,0.14503
56.6533,0.0256778,0.00048988,0.0206207,0.14502
57.6519,0.02578,0.000490417,0.020618,0.14501
58.6505,0.0258822,0.000490954,0.0206152,0.145
59.6491,0.0259844,0.000491492,0.0206124,0.14499
60.6478,0.0260866,0.000492029,0.0206096,0.14498
61.6464,0.0261888,0.000492566,0.0206069,0.14497
62.645,0.026291,0.000493103,0.0206041,0.14496
63.6436,0.0263932,0.00049364,0.0206013,0.14495
64.6422,0.0264954,0.000494177,0.0205986,0.14494
65.6409,0.0265976,0.000494713,0.0205958,0.14493
66.6395,0.0266998,0.00049525,0.020593,0.14492
67.6381,0.026802,0.000495787,0.0205903,0.14491
68.6367,0.0269042,0.000496323,0.0205875,0.1449
69.6353,0.0270064,0.00049686,0.0205847,0.14489
70.634,0.0271086,0.000497396,0.0205819,0.14488
71.6326,0.0272108,0.000497932,0.0205792,0.14487
72.6312,0.027313,0.000498468,0.0205764,0.14486
73.6298,0.0274152,0.000499005,0.0205736,0.14485
74.6284,0.0275174,0.000499541,0.0205709,0.14484
75.6271,0.0276196,0.000500077,0.0205681,0.14483
76.6257,0.0277218,0.000500613,0.0205654,0.14482
77.6243,0.027824,0.000501148,0.0205626,0.14481
78.6229,0.0279262,0.000501684,0.0205598,0.1448
79.6215,0.0280284,0.00050222,0.0205571,0.14479
80.6202,0.0281306,0.000502756,0.0205543,0.14478
81.6188,0.0282328,0.000503291,0.0205515,0.14477
82.6174,0.0283349,0.000503827,0.0205488,0.14476
83.616,0.0284371,0.000504362,0.020546,0.14475
84.6146,0.0285393,0.000504897,0.0205432,0.14474
85.6133,0.0286415,0.000505433,0.0205405,0.14473
86.6119,0.0287437,0.000505968,0.0205377,0.14472
87.6105,0.0288459,0.000506503,0.020535,0.14471
88.6091,0.0289481,0.000507038,0.0205322,0.1447
89.6077,0.0290503,0.000507573,0.0205294,0.14469
90.6064,0.0291525,0.000508108,0.0205267,0.14468
91.605,0.0292547,0.000508642,0.0205239,0.14467
92.6036,0.0293569,0.000509177,0.0205212,0.14466
93.6022,0.0294591,0.000509712,0.0205184,0.14465
94.6008,0.0295613,0.000510246,0.0205157,0.144641
95.5995,0.0296635,0.000510781,0.0205129,0.144631
96.5981,0.0297657,0.000511315,0.0205101,0.144621
97.5967,0.0298679,0.000511849,0.0205074,0.144611
98.5953,0.0299701,0.000512384,0.0205046,0.144601
99.5939,0.0300723,0.000512918,0.0205019,0.144591
100.593,0.0301745,0.000513452,0.0204991,0.144581
101.591,0.0302767,0.000513986,0.0204964,0.144571
102.59,0.0303789,0.00051452,0.0204936,0.144561
103.588,0.0304811,0.000515054,0.0204908,0.144551
104.587,0.0305833,0.000515588,0.0204881,0.144541
105.586,0.0306855,0.000516121,0.0204853,0.144531
106.584,0.0307877,0.000516655,0.0204826,0.144521
107.583,0.0308899,0.000517189,0.0204798,0.144511
108.582,0.0309921,0.000517722,0.0204771,0.144501
109.58,0.0310942,0.000518256,0.0204743,0.144491
110.579,0.0311964,0.000518789,0.0204716,0.144481
111.577,0.0312986,0.000519322,0.0204688,0.144471
112.576,0.0314008,0.000519855,0.0204661,0.144461
113.575,0.031503,0.000520388,0.0204633,0.144451
114.573,0.0316052,0.000520921,0.0204606,0.144441
115.572,0.0317074,0.000521454,0.0204578,0.144431
116.57,0.0318096,0.000521987,0.0204551,0.144421
117.569,0.0319118,0.00052252,0.0204523,0.144411
118.568,0.032014,0.000523053,0.0204496,0.144401
119.566,0.0321162,0.000523586,0.0204468,0.144391
120.565,0.0322184,0.000524118,0.0204441,0.144381
121.564,0.0323206,0.000524651,0.0204413,0.144371
122.562,0.0324228,0.000525183,0.0204386,0.144361
123.561,0.032525,0.000525715,0.0204358,0.144351
124.559,0.0326272,0.000526248,0.0204331,0.144341
125.558,0.0327294,0.00052678,0.0204303,0.144331
126.557,0.0328316,0.000527312,0.0204276,0.144321
127.555,0.0329338,0.000527844,0.0204249,0.144311
128.554,0.033036,0.000528376,0.0204221,0.144301
129.553,0.0331382,0.000528908,0.0204194,0.144292
130.551,0.0332404,0.00052944,0.0204166,0.144282
131.55,0.0333426,0.000529972,0.0204139,0.144272
132.548,0.0334448,0.000530503,0.0204111,0.144262
133.547,0.0335469,0.000531035,0.0204084,0.144252
134.546,0.0336491,0.000531566,0.0204056,0.144242
135.544,0.0337513,0.000532098,0.0204029,0.144232
136.543,0.0338535,0.000532629,0.0204002,0.144222
137.542,0.0339557,0.000533161,0.0203974,0.144212
138.54,0.0340579,0.000533692,0.0203947,0.144202
139.539,0.0341601,0.000534223,0.0203919,0.144192
140.537,0.0342623,0.000534754,0.0203892,0.144182
141.536,0.0343645,0.000535285,0.0203865,0.144172
142.535,0.0344667,0.000535816,0.0203837,0.144162
143.533,0.0345689,0.000536347,0.020381,0.144152
144.532,0.0346711,0.000536878,0.0203782,0.144142
145.53,0.0347733,0.000537408,0.0203755,0.144132
146.529,0.0348755,0.000537939,0.0203728,0.144122
147.528,0.0349777,0.000538469,0.02037,0.144112
148.526,0.0350799,0.000539,0.0203673,0.144103
149.525,0.0351821,0.00053953,0.0203646,0.144093
150.524,0.0352843,0.000540061,0.0203618,0.144083
151.522,0.0353865,0.000540591,0.0203591,0.144073
152.521,0.0354887,0.000541121,0.0203563,0.144063
153.519,0.0355909,0.000541651,0.0203536,0.144053
154.518,0.0356931,0.000542181,0.0203509,0.144043
155.517,0.0357952,0.000542711,0.0203481,0.144033
156.515,0.0358974,0.000543241,0.0203454,0.144023
157.514,0.0359996,0.000543771,0.0203427,0.144013
158.513,0.0361018,0.0005443,0.0203399,0.144003
159.511,0.036204,0.00054483,0.0203372,0.143993
160.51,0.0363062,0.00054536,0.0203345,0.143983
161.508,0.0364084,0.000545889,0.0203317,0.143973
162.507,0.0365106,0.000546419,0.020329,0.143963
163.506,0.0366128,0.000546948,0.0203263,0.143953
164.504,0.036715,0.000547477,0.0203235,0.143944
165.503,0.0368172,0.000548006,0.0203208,0.143934
166.501,0.0369194,0.000548535,0.0203181,0.143924
167.5,0.0370216,0.000549064,0.0203154,0.143914
168.499,0.0371238,0.000549593,0.0203126,0.143904
169.497,0.037226,0.000550122,0.0203099,0.143894
170.496,0.0373282,0.000550651,0.0203072,0.143884
171.495,0.0374304,0.00055118,0.0203044,0.143874
172.493,0.0375326,0.000551709,0.0203017,0.143864
173.492,0.0376348,0.000552237,0.020299,0.143854
174.49,0.037737,0.000552766,0.0202962,0.143844
175.489,0.0378391,0.000553294,0.0202935,0.143834
176.488,0.0379413,0.000553822,0.0202908,0.143824
177.486,0.0380435,0.000554351,0.0202881,0.143815
178.485,0.0381457,0.000554879,0.0202853,0.143805
179.484,0.0382479,0.000555407,0.0202826,0.143795
180.482,0.0383501,0.000555935,0.0202799,0.143785
181.481,0.0384523,0.000556463,0.0202772,0.143775
182.479,0.0385545,0.000556991,0.0202744,0.143765
183.478,0.0386567,0.000557519,0.0202717,0.143755
184.477,0.0387589,0.000558047,0.020269,0.143745
185.475,0.0388611,0.000558574,0.0202663,0.143735
186.474,0.0389633,0.000559102,0.0202635,0.143725
187.473,0.0390655,0.000559629,0.0202608,0.143715
188.471,0.0391677,0.000560157,0.0202581,0.143705
189.47,0.0392699,0.000560684,0.0202554,0.143696
190.468,0.0393721,0.000561212,0.0202527,0.143686
191.467,0.0394743,0.000561739,0.0202499,0.143676
192.466,0.0395765,0.000562266,0.0202472,0.143666
193.464,0.0396786,0.000562793,0.0202445,0.143656
194.463,0.0397808,0.00056332,0.0202418,0.143646
195.461,0.039883,0.000563847,0.0202391,0.143636
196.46,0.0399852,0.000564374,0.0202363,0.143626
197.459,0.0400874,0.000564901,0.0202336,0.143616
198.457,0.0401896,0.000565427,0.0202309,0.143606
199.456,0.0402918,0.000565954,0.0202282,0.143596
200.455,0.040394,0.000566481,0.0202255,0.143587
201.453,0.0404962,0.000567007,0.0202227,0.143577
202.452,0.0405984,0.000567534,0.02022,0.143567
203.45,0.0407006,0.00056806,0.0202173,0.143557
204.449,0.0408028,0.000568586,0.0202146,0.143547
205.448,0.040905,0.000569112,0.0202119,0.143537
206.446,0.0410072,0.000569638,0.0202092,0.143527
207.445,0.0411094,0.000570164,0.0202064,0.143517
208.444,0.0412116,0.00057069,0.0202037,0.143507
