extension (nm),average force (pN),sd force (pN),average bp unzipped, sd bp unzipped
0,0.0198092,0.000405158,0.00302347,0.0551971
1,0.0198626,0.000406221,0.00303086,0.0552647
2,0.0199162,0.000407288,0.00303828,0.0553324
3,0.0199699,0.000408359,0.00304571,0.0554003
4,0.0200239,0.000409433,0.00305317,0.0554682
5,0.0200782,0.000410511,0.00306065,0.0555363
6,0.0201326,0.000411593,0.00306815,0.0556044
7,0.0201873,0.000412679,0.00307567,0.0556727
8,0.0202422,0.000413769,0.00308322,0.0557411
9,0.0202973,0.000414862,0.00309079,0.0558096
10,0.0203526,0.000415959,0.00309837,0.0558783
11,0.0204082,0.00041706,0.00310599,0.055947
12,0.020464,0.000418165,0.00311362,0.0560159
13,0.02052,0.000419274,0.00312127,0.0560849
14,0.0205762,0.000420387,0.00312895,0.056154
15,0.0206327,0.000421504,0.00313665,0.0562232
16,0.0206894,0.000422625,0.00314437,0.0562925
17,0.0207464,0.00042375,0.00315212,0.0563619
18,0.0208035,0.000424879,0.00315988,0.0564315
19,0.020861,0.000426011,0.00316767,0.0565012
20,0.0209186,0.000427148,0.00317549,0.056571
21,0.0209765,0.000428289,0.00318332,0.0566409
22,0.0210346,0.000429434,0.00319118,0.0567109
23,0.021093,0.000430583,0.00319906,0.0567811
24,0.0211516,0.000431736,0.00320697,0.0568513
25,0.0212105,0.000432894,0.00321489,0.0569217
26,0.0212696,0.000434055,0.00322284,0.0569922
27,0.021329,0.000435221,0.00323082,0.0570629
28,0.0213886,0.00043639,0.00323881,0.0571336
29,0.0214484,0.000437564,0.00324683,0.0572045
30,0.0215085,0.000438743,0.00325488,0.0572754
31,0.0215689,0.000439925,0.00326295,0.0573466
32,0.0216295,0.000441112,0.00327104,0.0574178
33,0.0216904,0.000442303,0.00327915,0.0574891
34,0.0217515,0.000443498,0.00328729,0.0575606
35,0.0218129,0.000444698,0.00329545,0.0576322
36,0.0218745,0.000445902,0.00330364,0.0577039
37,0.0219365,0.00044711,0.00331185,0.0577757
38,0.0219986,0.000448323,0.00332009,0.0578477
39,0.0220611,0.00044954,0.00332835,0.0579198
40,0.0221238,0.000450762,0.00333663,0.057992
41,0.0221867,0.000451988,0.00334494,0.0580643
42,0.02225,0.000453218,0.00335327,0.0581367
43,0.0223135,0.000454453,0.00336163,0.0582093
44,0.0223772,0.000455693,0.00337001,0.058282
45,0.0224413,0.000456937,0.00337841,0.0583548
46,0.0225056,0.000458185,0.00338684,0.0584278
47,0.0225702,0.000459439,0.0033953,0.0585008
48,0.0226351,0.000460696,0.00340378,0.058574
49,0.0227003,0.000461959,0.00341229,0.0586473
50,0.0227657,0.000463226,0.00342082,0.0587208
51,0.0228314,0.000464497,0.00342937,0.0587944
52,0.0228974,0.000465774,0.00343795,0.058868
53,0.0229637,0.000467055,0.00344656,0.0589419
54,0.0230303,0.00046834,0.00345519,0.0590158
55,0.0230972,0.000469631,0.00346385,0.0590899
56,0.0231644,0.000470926,0.00347253,0.0591641
57,0.0232318,0.000472226,0.00348124,0.0592384
58,0.0232996,0.000473531,0.00348998,0.0593129
59,0.0233676,0.000474841,0.00349874,0.0593875
60,0.023436,0.000476155,0.00350753,0.0594622
61,0.0235046,0.000477475,0.00351634,0.059537
62,0.0235736,0.000478799,0.00352518,0.059612
63,0.0236428,0.000480128,0.00353404,0.0596871
64,0.0237124,0.000481462,0.00354294,0.0597623
65,0.0237823,0.000482801,0.00355185,0.0598376
66,0.0238524,0.000484146,0.0035608,0.0599131
67,0.0239229,0.000485495,0.00356977,0.0599887
68,0.0239937,0.000486849,0.00357877,0.0600645
69,0.0240648,0.000488208,0.00358779,0.0601404
70,0.0241363,0.000489573,0.00359685,0.0602164
71,0.024208,0.000490942,0.00360592,0.0602925
72,0.0242801,0.000492317,0.00361503,0.0603688
73,0.0243525,0.000493697,0.00362416,0.0604452
74,0.0244252,0.000495082,0.00363332,0.0605217
75,0.0244982,0.000496472,0.00364251,0.0605984
76,0.0245716,0.000497868,0.00365173,0.0606752
77,0.0246453,0.000499268,0.00366097,0.0607521
78,0.0247193,0.000500675,0.00367024,0.0608292
79,0.0247937,0.000502086,0.00367954,0.0609064
80,0.0248684,0.000503503,0.00368886,0.0609837
81,0.0249434,0.000504925,0.00369822,0.0610612
82,0.0250188,0.000506352,0.0037076,0.0611388
83,0.0250945,0.000507785,0.00371701,0.0612165
84,0.0251705,0.000509223,0.00372645,0.0612944
85,0.0252469,0.000510667,0.00373591,0.0613724
86,0.0253237,0.000512117,0.00374541,0.0614505
87,0.0254008,0.000513572,0.00375493,0.0615288
88,0.0254782,0.000515032,0.00376448,0.0616072
89,0.0255561,0.000516498,0.00377406,0.0616857
90,0.0256342,0.00051797,0.00378367,0.0617644
91,0.0257127,0.000519447,0.00379331,0.0618432
92,0.0257916,0.00052093,0.00380298,0.0619222
93,0.0258709,0.000522419,0.00381268,0.0620013
94,0.0259505,0.000523913,0.0038224,0.0620805
95,0.0260305,0.000525413,0.00383216,0.0621599
96,0.0261108,0.000526919,0.00384194,0.0622394
97,0.0261915,0.000528431,0.00385176,0.062319
98,0.0262726,0.000529948,0.0038616,0.0623988
99,0.0263541,0.000531471,0.00387147,0.0624787
100,0.026436,0.000533001,0.00388137,0.0625588
101,0.0265182,0.000534536,0.00389131,0.062639
102,0.0266008,0.000536077,0.00390127,0.0627193
103,0.0266838,0.000537624,0.00391126,0.0627998
104,0.0267672,0.000539177,0.00392129,0.0628804
105,0.026851,0.000540737,0.00393134,0.0629612
106,0.0269352,0.000542302,0.00394142,0.0630421
107,0.0270197,0.000543873,0.00395154,0.0631232
108,0.0271047,0.000545451,0.00396168,0.0632044
109,0.0271901,0.000547034,0.00397186,0.0632857
110,0.0272759,0.000548624,0.00398207,0.0633672
111,0.027362,0.00055022,0.0039923,0.0634488
