# zMean	zSD	jMean	jSD	FMean	FSD	TotSteps
7.199933298309198335e+02	5.285032156669482173e-02	3.406357449452001029e-01	1.233450604615388357e+00	1.174830999272207244e+01	3.914094815229418600e-03	3.000000000000000000e+01
7.206754390332199591e+02	8.598598245807617668e-02	4.480146445680471823e-01	1.965267813415069620e+00	1.206809298519972984e+01	6.368121860845121773e-03	3.000000000000000000e+01
7.214029875825386853e+02	1.512644850014220888e-01	6.282926086716095204e-01	3.393434502268245723e+00	1.238451073963718230e+01	1.120264775920531974e-02	3.200000000000000000e+01
7.222368762278515533e+02	2.902175363056038182e-01	9.579496957055354533e-01	6.404931189914655043e+00	1.269305294656530769e+01	2.149351073879302021e-02	3.300000000000000000e+01
7.233182289414254456e+02	6.015469041890815216e-01	1.614789135248014373e+00	1.308770916428338005e+01	1.298326796459802779e+01	4.455056372424337496e-02	3.600000000000000000e+01
7.249808424809466487e+02	1.275150674763990688e+00	2.995686903818559177e+00	2.741536054116170007e+01	1.323043480586109233e+01	9.443765897302114354e-02	3.800000000000000000e+01
7.277564161360078288e+02	2.417924661146230392e+00	5.773594036569972943e+00	5.130486874964783794e+01	1.339517582096726045e+01	1.790715004044898251e-01	3.900000000000000000e+01
7.319065503153825603e+02	3.288074041987550711e+00	1.023106937640778824e+01	6.894786237718325594e+01	1.345811688364276293e+01	2.435147635495980012e-01	4.500000000000000000e+01
7.363515690652286594e+02	2.818560488008212239e+00	1.500439254186291826e+01	5.866096579821157775e+01	1.349921879502916333e+01	2.087425897418881959e-01	5.400000000000000000e+01
7.397644560389486514e+02	1.787030490951359685e+00	1.845932666434702440e+01	3.699828992862336463e+01	1.361676038575545888e+01	1.323474781598577010e-01	5.600000000000000000e+01
7.421058742886652908e+02	1.100996506228292704e+00	2.057491515513343572e+01	2.272963356237261223e+01	1.381365495018144429e+01	8.153980125126736311e-02	5.700000000000000000e+01
7.438513957057418793e+02	7.821475162106666934e-01	2.195177783118650083e+01	1.609138554121898324e+01	1.405468163403275206e+01	5.792584505056197486e-02	5.800000000000000000e+01
7.453740867754012243e+02	7.413966484223597497e-01	2.305640245293457014e+01	1.531529619207719861e+01	1.431221113341378270e+01	5.490783578215996386e-02	6.000000000000000000e+01
7.470890798234166823e+02	1.185209269189606340e+00	2.441462901305854416e+01	2.477144401835118970e+01	1.455549874827775803e+01	8.777659847618224376e-02	6.900000000000000000e+01
7.499796468490631014e+02	2.817064680376657471e+00	2.724030411999385848e+01	5.891125270408394954e+01	1.471172335435838008e+01	2.086318102286952580e-01	7.300000000000000000e+01
7.555553681426188177e+02	5.092031864767660565e+00	3.336556566615084307e+01	1.055147035655395484e+02	1.466908543535764942e+01	3.771158799046929744e-01	7.300000000000000000e+01
7.621287610932386087e+02	3.961369112618129851e+00	4.064803113426351189e+01	8.120431540599861364e+01	1.455255995343474673e+01	2.933789964804986994e-01	7.800000000000000000e+01
7.661640721500219797e+02	1.751193262209583823e+00	4.475078733761269945e+01	3.592876064480742571e+01	1.462400481656937323e+01	1.296933729992417739e-01	7.100000000000000000e+01
7.684927314503166826e+02	1.163723304433128325e+00	4.675796089927408872e+01	2.450097722796681410e+01	1.482184430878954551e+01	8.618534792631749042e-02	7.900000000000000000e+01
7.708954895619816625e+02	1.794505657834373658e+00	4.888167664311620086e+01	3.822432382108308957e+01	1.501419604303963951e+01	1.329010890192137140e-01	7.900000000000000000e+01
7.745736230810460938e+02	3.116127745143165040e+00	5.259957922383864570e+01	6.591061818707294151e+01	1.511209347461772445e+01	2.307804208053028105e-01	8.000000000000000000e+01
7.795948932716961508e+02	3.699010966146240698e+00	5.796037019597872586e+01	7.792216283158177248e+01	1.511051820429818271e+01	2.739487521527905756e-01	1.110000000000000000e+02
7.847734643124535978e+02	3.876162595997096449e+00	6.351466795398960130e+01	8.481580084368169992e+01	1.509729323301968762e+01	2.870686018595449696e-01	1.130000000000000000e+02
7.945381216357695848e+02	1.467188856948924602e+01	7.529848615143477275e+01	3.521230408768797133e+02	1.474442271165490048e+01	1.086600067456373608e+00	1.160000000000000000e+02
8.188144443738526661e+02	1.349036198820755850e+01	1.065296119153452423e+02	3.290884819454950048e+02	1.331681824967246897e+01	9.990962088466517343e-01	1.280000000000000000e+02
8.269146249088066725e+02	1.813150525211301378e+00	1.159601075063241780e+02	4.658081646881328197e+01	1.308721887925377203e+01	1.342819278971489894e-01	1.210000000000000000e+02
8.295005470100857110e+02	1.019419738909536965e+00	1.180056724134485648e+02	2.802705994596180972e+01	1.326600548843305560e+01	7.549822586364030030e-02	1.090000000000000000e+02
8.320496092820181957e+02	1.412121874252906917e+00	1.200470701828338349e+02	3.893588456195902836e+01	1.344752193657372885e+01	1.045817460071702953e-01	1.010000000000000000e+02
8.353474779743022509e+02	2.263836303913034254e+00	1.231628274386101651e+02	6.242064127236335480e+01	1.357358178122317582e+01	1.676597166677993300e-01	8.300000000000000000e+01
8.400603590727147321e+02	3.771021766443134471e+00	1.283001972145442551e+02	1.050903816268255468e+02	1.359484580707474244e+01	2.792818720227785434e-01	8.500000000000000000e+01
8.469205792592639455e+02	5.452926476762654850e+00	1.365128332714600958e+02	1.537321572005530470e+02	1.345707790005891269e+01	4.038437348690422368e-01	8.400000000000000000e+01
